replicate,female_age,treatment,vial,total_offspring,days,days_since_mating_opp
1,09-Aug,medium,11,115,2,5
1,09-Aug,medium,12,155,2,5
1,09-Aug,medium,13,98,2,5
1,09-Aug,medium,14,136,2,5
1,09-Aug,medium,15,116,2,5
1,09-Aug,medium,16,110,2,5
1,09-Aug,medium,17,67,2,5
1,09-Aug,medium,18,113,2,5
1,09-Aug,medium,19,158,2,5
1,09-Aug,medium,20,146,2,5
1,09-Aug,high,1,93,2,5
1,09-Aug,high,2,88,2,5
1,09-Aug,high,3,108,2,5
1,09-Aug,high,4,108,2,5
1,09-Aug,high,5,131,2,5
1,09-Aug,high,6,40,2,5
1,09-Aug,high,7,131,2,5
1,09-Aug,high,8,51,2,5
1,09-Aug,high,9,153,2,5
1,09-Aug,high,10,23,2,5
1,09-Aug,high,11,151,2,5
1,09-Aug,high,12,108,2,5
1,09-Aug,high,13,137,2,5
1,09-Aug,high,14,124,2,5
1,09-Aug,high,15,114,2,5
1,09-Aug,high,16,98,2,5
1,09-Aug,high,17,138,2,5
1,09-Aug,high,18,80,2,5
1,09-Aug,high,19,151,2,5
1,09-Aug,high,20,74,2,5
1,11-Oct,low,1,45,2,7
1,11-Oct,low,2,46,2,7
1,11-Oct,low,3,0,2,7
1,11-Oct,low,4,0,2,7
1,11-Oct,low,5,1,2,7
1,11-Oct,low,6,44,2,7
1,11-Oct,low,7,30,2,7
1,11-Oct,low,8,2,2,7
1,11-Oct,low,9,85,2,7
1,11-Oct,low,10,15,2,7
1,11-Oct,low,11,65,2,7
1,11-Oct,low,12,2,2,7
1,11-Oct,low,13,70,2,7
1,11-Oct,low,14,119,2,7
1,11-Oct,low,15,13,2,7
1,11-Oct,low,16,108,2,7
1,11-Oct,low,17,97,2,7
1,11-Oct,low,18,0,2,7
1,11-Oct,low,19,55,2,7
1,11-Oct,low,20,55,2,7
1,11-Oct,medium,1,0,2,7
1,11-Oct,medium,2,0,2,7
1,11-Oct,medium,3,114,2,7
1,11-Oct,medium,4,139,2,7
1,11-Oct,medium,5,29,2,7
1,11-Oct,medium,6,132,2,7
1,11-Oct,medium,7,103,2,7
1,11-Oct,medium,8,89,2,7
1,11-Oct,medium,9,48,2,7
1,11-Oct,medium,10,132,2,7
1,11-Oct,medium,11,77,2,7
1,11-Oct,medium,12,109,2,7
1,11-Oct,medium,13,99,2,7
1,11-Oct,medium,14,150,2,7
1,11-Oct,medium,15,119,2,7
1,11-Oct,medium,16,99,2,7
1,11-Oct,medium,17,0,2,7
1,11-Oct,medium,18,123,2,7
1,11-Oct,medium,19,102,2,7
1,11-Oct,medium,20,141,2,7
1,11-Oct,high,1,97,2,7
1,11-Oct,high,2,111,2,7
1,11-Oct,high,3,125,2,7
1,11-Oct,high,4,74,2,7
1,11-Oct,high,5,111,2,7
1,11-Oct,high,6,148,2,7
1,11-Oct,high,7,121,2,7
1,11-Oct,high,8,123,2,7
1,11-Oct,high,9,149,2,7
1,11-Oct,high,10,104,2,7
1,11-Oct,high,11,159,2,7
1,11-Oct,high,12,113,2,7
1,11-Oct,high,13,127,2,7
1,11-Oct,high,14,159,2,7
1,11-Oct,high,15,117,2,7
1,11-Oct,high,16,102,2,7
1,11-Oct,high,17,126,2,7
1,11-Oct,high,18,126,2,7
1,11-Oct,high,19,140,2,7
1,11-Oct,high,20,88,2,7
1,13-Dec,low,1,54,2,1
1,13-Dec,low,2,130,2,1
1,13-Dec,low,3,0,2,1
1,13-Dec,low,4,77,2,1
1,13-Dec,low,5,1,2,1
1,13-Dec,low,6,132,2,1
1,13-Dec,low,7,86,2,1
1,13-Dec,low,8,100,2,1
1,13-Dec,low,9,108,2,1
1,13-Dec,low,10,33,2,1
1,13-Dec,low,11,79,2,1
1,13-Dec,low,12,114,2,1
1,13-Dec,low,13,72,2,1
1,13-Dec,low,14,128,2,1
1,13-Dec,low,15,99,2,1
1,13-Dec,low,16,94,2,1
1,13-Dec,low,17,120,2,1
1,13-Dec,low,18,134,2,1
1,13-Dec,low,19,127,2,1
1,13-Dec,low,20,127,2,1
1,13-Dec,medium,1,0,2,1
1,13-Dec,medium,2,99,2,1
1,13-Dec,medium,3,105,2,1
1,13-Dec,medium,4,154,2,1
1,13-Dec,medium,5,148,2,1
1,13-Dec,medium,6,127,2,1
1,13-Dec,medium,7,101,2,1
1,13-Dec,medium,8,84,2,1
1,13-Dec,medium,9,121,2,1
1,13-Dec,medium,10,38,2,1
1,13-Dec,medium,11,101,2,1
1,13-Dec,medium,12,52,2,1
1,13-Dec,medium,13,107,2,1
1,13-Dec,medium,14,67,2,1
1,13-Dec,medium,15,97,2,1
1,13-Dec,medium,16,97,2,1
1,13-Dec,medium,17,90,2,1
1,13-Dec,medium,18,120,2,1
1,13-Dec,medium,19,155,2,1
1,13-Dec,medium,20,147,2,1
1,13-Dec,high,1,62,2,1
1,13-Dec,high,2,106,2,1
1,13-Dec,high,3,1,2,1
1,13-Dec,high,4,127,2,1
1,13-Dec,high,5,106,2,1
1,13-Dec,high,6,139,2,1
1,13-Dec,high,7,123,2,1
1,13-Dec,high,8,115,2,1
1,13-Dec,high,9,142,2,1
1,13-Dec,high,10,133,2,1
1,13-Dec,high,11,155,2,1
1,13-Dec,high,12,110,2,1
1,13-Dec,high,13,103,2,1
1,13-Dec,high,14,154,2,1
1,13-Dec,high,15,118,2,1
1,13-Dec,high,16,120,2,1
1,13-Dec,high,17,104,2,1
1,13-Dec,high,18,118,2,1
1,13-Dec,high,19,136,2,1
1,13-Dec,high,20,90,2,1
1,14-15,low,1,46,2,3
1,14-15,low,2,144,2,3
1,14-15,low,3,0,2,3
1,14-15,low,4,78,2,3
1,14-15,low,5,24,2,3
1,14-15,low,6,163,2,3
1,14-15,low,7,61,2,3
1,14-15,low,8,126,2,3
1,14-15,low,9,82,2,3
1,14-15,low,10,25,2,3
1,14-15,low,11,77,2,3
1,14-15,low,12,94,2,3
1,14-15,low,13,62,2,3
1,14-15,low,14,113,2,3
1,14-15,low,15,112,2,3
1,14-15,low,16,115,2,3
1,14-15,low,17,86,2,3
1,14-15,low,18,140,2,3
1,14-15,low,19,137,2,3
1,14-15,low,20,127,2,3
1,14-15,medium,1,0,2,3
1,14-15,medium,2,103,2,3
1,14-15,medium,3,112,2,3
1,14-15,medium,4,150,2,3
1,14-15,medium,5,141,2,3
1,14-15,medium,6,10,2,3
1,14-15,medium,7,125,2,3
1,14-15,medium,8,96,2,3
1,14-15,medium,9,5,2,3
1,14-15,medium,10,0,2,3
1,14-15,medium,11,104,2,3
1,14-15,medium,12,13,2,3
1,14-15,medium,13,35,2,3
1,14-15,medium,14,20,2,3
1,14-15,medium,15,13,2,3
1,14-15,medium,16,104,2,3
1,14-15,medium,17,1,2,3
1,14-15,medium,18,102,2,3
1,14-15,medium,19,140,2,3
1,14-15,medium,20,102,2,3
1,14-15,high,1,98,2,3
1,14-15,high,2,92,2,3
1,14-15,high,3,0,2,3
1,14-15,high,4,100,2,3
1,14-15,high,5,76,2,3
1,14-15,high,6,91,2,3
1,14-15,high,7,35,2,3
1,14-15,high,8,98,2,3
1,14-15,high,9,127,2,3
1,14-15,high,10,26,2,3
1,14-15,high,11,155,2,3
1,14-15,high,12,132,2,3
1,14-15,high,13,48,2,3
1,14-15,high,14,85,2,3
1,14-15,high,15,105,2,3
1,14-15,high,16,132,2,3
1,14-15,high,17,80,2,3
1,14-15,high,18,78,2,3
1,14-15,high,19,119,2,3
1,14-15,high,20,91,2,3
1,16-19,low,1,55,4,NA
1,16-19,low,2,104,4,NA
1,16-19,low,3,0,4,NA
1,16-19,low,4,102,4,NA
1,16-19,low,5,37,4,NA
1,16-19,low,6,149,4,NA
1,16-19,low,7,89,4,NA
1,16-19,low,8,71,4,NA
1,16-19,low,9,8,4,NA
1,16-19,low,10,16,4,NA
1,16-19,low,11,1,4,NA
1,16-19,low,12,1,4,NA
1,16-19,low,13,45,4,NA
1,16-19,low,14,95,4,NA
1,16-19,low,15,79,4,NA
1,16-19,low,16,74,4,NA
1,16-19,low,17,125,4,NA
1,16-19,low,18,77,4,NA
1,16-19,low,19,114,4,NA
1,16-19,low,20,78,4,NA
1,16-19,medium,1,0,4,NA
1,16-19,medium,2,132,4,NA
1,16-19,medium,3,97,4,NA
1,16-19,medium,4,169,4,NA
1,16-19,medium,5,202,4,NA
1,16-19,medium,6,151,4,NA
1,16-19,medium,7,113,4,NA
1,16-19,medium,8,91,4,NA
1,16-19,medium,9,101,4,NA
1,16-19,medium,10,126,4,NA
1,16-19,medium,11,92,4,NA
1,16-19,medium,12,136,4,NA
1,16-19,medium,13,103,4,NA
1,16-19,medium,14,140,4,NA
1,16-19,medium,15,132,4,NA
1,16-19,medium,16,161,4,NA
1,16-19,medium,17,123,4,NA
1,16-19,medium,18,124,4,NA
1,16-19,medium,19,160,4,NA
1,16-19,medium,20,78,4,NA
1,16-19,high,1,144,4,NA
1,16-19,high,2,148,4,NA
1,16-19,high,3,166,4,NA
1,16-19,high,4,142,4,NA
1,16-19,high,5,86,4,NA
1,16-19,high,6,162,4,NA
1,16-19,high,7,110,4,NA
1,16-19,high,8,69,4,NA
1,16-19,high,9,132,4,NA
1,16-19,high,10,0,4,NA
1,16-19,high,11,151,4,NA
1,16-19,high,12,82,4,NA
1,16-19,high,13,141,4,NA
1,16-19,high,14,155,4,NA
1,16-19,high,15,143,4,NA
1,16-19,high,16,124,4,NA
1,16-19,high,17,131,4,NA
1,16-19,high,18,67,4,NA
1,16-19,high,19,139,4,NA
1,16-19,high,20,71,4,NA
1,20-23,low,1,45,4,NA
1,20-23,low,2,125,4,NA
1,20-23,low,3,0,4,NA
1,20-23,low,4,57,4,NA
1,20-23,low,5,36,3,NA
1,20-23,low,6,154,4,NA
1,20-23,low,7,111,4,NA
1,20-23,low,8,106,4,NA
1,20-23,low,9,146,4,NA
1,20-23,low,10,50,4,NA
1,20-23,low,11,99,4,NA
1,20-23,low,12,139,4,NA
1,20-23,low,13,119,4,NA
1,20-23,low,14,145,4,NA
1,20-23,low,15,100,4,NA
1,20-23,low,16,111,4,NA
1,20-23,low,17,93,4,NA
1,20-23,low,18,136,4,NA
1,20-23,low,19,127,4,NA
1,20-23,low,20,125,4,NA
1,20-23,medium,1,0,4,NA
1,20-23,medium,2,124,4,NA
1,20-23,medium,3,71,4,NA
1,20-23,medium,4,88,4,NA
1,20-23,medium,5,149,4,NA
1,20-23,medium,6,135,4,NA
1,20-23,medium,7,127,4,NA
1,20-23,medium,8,97,4,NA
1,20-23,medium,9,13,4,NA
1,20-23,medium,10,122,4,NA
1,20-23,medium,11,41,4,NA
1,20-23,medium,12,136,4,NA
1,20-23,medium,13,105,4,NA
1,20-23,medium,14,10,4,NA
1,20-23,medium,15,132,4,NA
1,20-23,medium,16,102,4,NA
1,20-23,medium,17,0,4,NA
1,20-23,medium,18,77,4,NA
1,20-23,medium,19,58,4,NA
1,20-23,medium,20,144,4,NA
1,20-23,high,1,83,4,NA
1,20-23,high,2,140,4,NA
1,20-23,high,3,137,4,NA
1,20-23,high,4,124,4,NA
1,20-23,high,5,89,4,NA
1,20-23,high,6,87,4,NA
1,20-23,high,7,76,4,NA
1,20-23,high,8,94,4,NA
1,20-23,high,9,107,4,NA
1,20-23,high,10,10,4,NA
1,20-23,high,11,144,4,NA
1,20-23,high,12,96,4,NA
1,20-23,high,13,93,4,NA
1,20-23,high,14,59,4,NA
1,20-23,high,15,103,4,NA
1,20-23,high,16,110,4,NA
1,20-23,high,17,107,4,NA
1,20-23,high,18,87,4,NA
1,20-23,high,19,73,4,NA
1,20-23,high,20,95,4,NA
1,24-27,low,1,0,4,NA
1,24-27,low,2,97,4,NA
1,24-27,low,3,NA,4,NA
1,24-27,low,4,3,4,NA
1,24-27,low,5,NA,4,NA
1,24-27,low,6,93,4,NA
1,24-27,low,7,65,4,NA
1,24-27,low,8,17,4,NA
1,24-27,low,9,16,4,NA
1,24-27,low,10,17,4,NA
1,24-27,low,11,9,4,NA
1,24-27,low,12,0,4,NA
1,24-27,low,13,1,4,NA
1,24-27,low,14,134,4,NA
1,24-27,low,15,58,4,NA
1,24-27,low,16,54,4,NA
1,24-27,low,17,67,4,NA
1,24-27,low,18,0,4,NA
1,24-27,low,19,111,4,NA
1,24-27,low,20,118,4,NA
1,24-27,medium,1,0,4,NA
1,24-27,medium,2,110,4,NA
1,24-27,medium,3,0,4,NA
1,24-27,medium,4,1,4,NA
1,24-27,medium,5,110,4,NA
1,24-27,medium,6,116,4,NA
1,24-27,medium,7,79,4,NA
1,24-27,medium,8,71,4,NA
1,24-27,medium,9,77,4,NA
1,24-27,medium,10,74,4,NA
1,24-27,medium,11,69,4,NA
1,24-27,medium,12,19,4,NA
1,24-27,medium,13,76,4,NA
1,24-27,medium,14,33,4,NA
1,24-27,medium,15,120,4,NA
1,24-27,medium,16,84,4,NA
1,24-27,medium,17,76,4,NA
1,24-27,medium,18,0,2,NA
1,24-27,medium,19,4,4,NA
1,24-27,medium,20,62,4,NA
1,24-27,high,1,70,4,NA
1,24-27,high,2,85,4,NA
1,24-27,high,3,121,4,NA
1,24-27,high,4,116,4,NA
1,24-27,high,5,109,4,NA
1,24-27,high,6,83,4,NA
1,24-27,high,7,70,4,NA
1,24-27,high,8,85,4,NA
1,24-27,high,9,127,4,NA
1,24-27,high,10,0,4,NA
1,24-27,high,11,139,4,NA
1,24-27,high,12,109,4,NA
1,24-27,high,13,89,4,NA
1,24-27,high,14,92,4,NA
1,24-27,high,15,94,4,NA
1,24-27,high,16,101,4,NA
1,24-27,high,17,104,4,NA
1,24-27,high,18,66,4,NA
1,24-27,high,19,67,4,NA
1,24-27,high,20,102,4,NA
1,28-31,low,1,0,4,NA
1,28-31,low,2,68,4,NA
1,28-31,low,3,NA,4,NA
1,28-31,low,4,53,4,NA
1,28-31,low,5,NA,4,NA
1,28-31,low,6,129,4,NA
1,28-31,low,7,91,4,NA
1,28-31,low,8,65,4,NA
1,28-31,low,9,48,4,NA
1,28-31,low,10,27,4,NA
1,28-31,low,11,0,4,NA
1,28-31,low,12,132,4,NA
1,28-31,low,13,5,4,NA
1,28-31,low,14,102,4,NA
1,28-31,low,15,113,4,NA
1,28-31,low,16,76,4,NA
1,28-31,low,17,120,4,NA
1,28-31,low,18,82,4,NA
1,28-31,low,19,87,4,NA
1,28-31,low,20,122,4,NA
1,28-31,medium,1,0,4,NA
1,28-31,medium,2,86,4,NA
1,28-31,medium,3,0,4,NA
1,28-31,medium,4,0,4,NA
1,28-31,medium,5,0,4,NA
1,28-31,medium,6,104,4,NA
1,28-31,medium,7,3,4,NA
1,28-31,medium,8,87,4,NA
1,28-31,medium,9,0,4,NA
1,28-31,medium,10,90,4,NA
1,28-31,medium,11,65,4,NA
1,28-31,medium,12,96,4,NA
1,28-31,medium,13,98,4,NA
1,28-31,medium,14,0,4,NA
1,28-31,medium,15,98,4,NA
1,28-31,medium,16,82,4,NA
1,28-31,medium,17,18,4,NA
1,28-31,medium,18,NA,4,NA
1,28-31,medium,19,0,4,NA
1,28-31,medium,20,71,4,NA
1,28-31,high,1,1,4,NA
1,28-31,high,2,65,4,NA
1,28-31,high,3,65,4,NA
1,28-31,high,4,121,4,NA
1,28-31,high,5,12,4,NA
1,28-31,high,6,86,4,NA
1,28-31,high,7,88,4,NA
1,28-31,high,8,59,4,NA
1,28-31,high,9,86,4,NA
1,28-31,high,10,0,3,NA
1,28-31,high,11,137,4,NA
1,28-31,high,12,93,4,NA
1,28-31,high,13,0,4,NA
1,28-31,high,14,30,4,NA
1,28-31,high,15,13,4,NA
1,28-31,high,16,42,4,NA
1,28-31,high,17,15,4,NA
1,28-31,high,18,48,4,NA
1,28-31,high,19,69,4,NA
1,28-31,high,20,85,4,NA
1,32-35,low,1,0,4,NA
1,32-35,low,2,14,4,NA
1,32-35,low,3,NA,4,NA
1,32-35,low,4,41,4,NA
1,32-35,low,5,NA,4,NA
1,32-35,low,6,59,4,NA
1,32-35,low,7,54,4,NA
1,32-35,low,8,9,4,NA
1,32-35,low,9,17,4,NA
1,32-35,low,10,5,4,NA
1,32-35,low,11,NA,4,NA
1,32-35,low,12,26,4,NA
1,32-35,low,13,9,4,NA
1,32-35,low,14,48,4,NA
1,32-35,low,15,68,4,NA
1,32-35,low,16,38,3,NA
1,32-35,low,17,90,4,NA
1,32-35,low,18,27,4,NA
1,32-35,low,19,62,4,NA
1,32-35,low,20,62,4,NA
1,32-35,medium,1,0,4,NA
1,32-35,medium,2,16,4,NA
1,32-35,medium,3,0,4,NA
1,32-35,medium,4,0,4,NA
1,32-35,medium,5,NA,4,NA
1,32-35,medium,6,107,4,NA
1,32-35,medium,7,0,4,NA
1,32-35,medium,8,51,3,NA
1,32-35,medium,9,0,4,NA
1,32-35,medium,10,38,4,NA
1,32-35,medium,11,45,4,NA
1,32-35,medium,12,29,4,NA
1,32-35,medium,13,61,4,NA
1,32-35,medium,14,NA,4,NA
1,32-35,medium,15,8,4,NA
1,32-35,medium,16,0,4,NA
1,32-35,medium,17,NA,4,NA
1,32-35,medium,18,NA,4,NA
1,32-35,medium,19,4,4,NA
1,32-35,medium,20,0,4,NA
1,32-35,high,1,0,4,NA
1,32-35,high,2,64,4,NA
1,32-35,high,3,43,4,NA
1,32-35,high,4,74,4,NA
1,32-35,high,5,0,4,NA
1,32-35,high,6,65,4,NA
1,32-35,high,7,71,4,NA
1,32-35,high,8,49,4,NA
1,32-35,high,9,74,4,NA
1,32-35,high,10,NA,4,NA
1,32-35,high,11,100,4,NA
1,32-35,high,12,80,4,NA
1,32-35,high,13,2,4,NA
1,32-35,high,14,7,4,NA
1,32-35,high,15,23,4,NA
1,32-35,high,16,51,4,NA
1,32-35,high,17,0,4,NA
1,32-35,high,18,32,4,NA
1,32-35,high,19,114,4,NA
1,32-35,high,20,80,4,NA
1,36-39,low,1,0,4,NA
1,36-39,low,2,4,4,NA
1,36-39,low,3,NA,4,NA
1,36-39,low,4,35,4,NA
1,36-39,low,5,NA,4,NA
1,36-39,low,6,0,4,NA
1,36-39,low,7,34,4,NA
1,36-39,low,8,1,4,NA
1,36-39,low,9,3,4,NA
1,36-39,low,10,0,4,NA
1,36-39,low,11,NA,4,NA
1,36-39,low,12,0,4,NA
1,36-39,low,13,3,4,NA
1,36-39,low,14,51,4,NA
1,36-39,low,15,31,4,NA
1,36-39,low,16,NA,4,NA
1,36-39,low,17,78,4,NA
1,36-39,low,18,2,4,NA
1,36-39,low,19,18,4,NA
1,36-39,low,20,15,4,NA
1,36-39,medium,1,0,4,NA
1,36-39,medium,2,0,4,NA
1,36-39,medium,3,0,4,NA
1,36-39,medium,4,NA,4,NA
1,36-39,medium,5,NA,4,NA
1,36-39,medium,6,3,4,NA
1,36-39,medium,7,0,3,NA
1,36-39,medium,8,NA,4,NA
1,36-39,medium,9,0,4,NA
1,36-39,medium,10,49,4,NA
1,36-39,medium,11,31,4,NA
1,36-39,medium,12,0,4,NA
1,36-39,medium,13,37,4,NA
1,36-39,medium,14,NA,4,NA
1,36-39,medium,15,0,4,NA
1,36-39,medium,16,0,4,NA
1,36-39,medium,17,NA,4,NA
1,36-39,medium,18,NA,4,NA
1,36-39,medium,19,0,4,NA
1,36-39,medium,20,0,3,NA
1,36-39,high,1,0,4,NA
1,36-39,high,2,63,4,NA
1,36-39,high,3,12,4,NA
1,36-39,high,4,52,4,NA
1,36-39,high,5,0,4,NA
1,36-39,high,6,23,4,NA
1,36-39,high,7,1,4,NA
1,36-39,high,8,48,4,NA
1,36-39,high,9,1,4,NA
1,36-39,high,10,NA,4,NA
1,36-39,high,11,13,4,NA
1,36-39,high,12,73,4,NA
1,36-39,high,13,3,4,NA
1,36-39,high,14,0,4,NA
1,36-39,high,15,0,3,NA
1,36-39,high,16,81,4,NA
1,36-39,high,17,0,4,NA
1,36-39,high,18,NA,4,NA
1,36-39,high,19,45,4,NA
1,36-39,high,20,79,4,NA
1,40-46,low,1,0,5,NA
1,40-46,low,2,0,7,NA
1,40-46,low,3,NA,7,NA
1,40-46,low,4,5,7,NA
1,40-46,low,5,NA,7,NA
1,40-46,low,6,0,7,NA
1,40-46,low,7,14,7,NA
1,40-46,low,8,1,7,NA
1,40-46,low,9,0,7,NA
1,40-46,low,10,0,7,NA
1,40-46,low,11,NA,7,NA
1,40-46,low,12,0,7,NA
1,40-46,low,13,0,7,NA
1,40-46,low,14,0,7,NA
1,40-46,low,15,0,7,NA
1,40-46,low,16,NA,7,NA
1,40-46,low,17,0,7,NA
1,40-46,low,18,0,6,NA
1,40-46,low,19,0,7,NA
1,40-46,low,20,2,7,NA
1,40-46,medium,1,0,3,NA
1,40-46,medium,2,0,6,NA
1,40-46,medium,3,0,4,NA
1,40-46,medium,4,NA,7,NA
1,40-46,medium,5,NA,7,NA
1,40-46,medium,6,1,7,NA
1,40-46,medium,7,NA,7,NA
1,40-46,medium,8,NA,7,NA
1,40-46,medium,9,0,5,NA
1,40-46,medium,10,0,7,NA
1,40-46,medium,11,11,7,NA
1,40-46,medium,12,0,7,NA
1,40-46,medium,13,3,7,NA
1,40-46,medium,14,NA,7,NA
1,40-46,medium,15,NA,7,NA
1,40-46,medium,16,1,7,NA
1,40-46,medium,17,NA,7,NA
1,40-46,medium,18,NA,7,NA
1,40-46,medium,19,0,4,NA
1,40-46,medium,20,NA,7,NA
1,40-46,high,1,0,6,NA
1,40-46,high,2,27,7,NA
1,40-46,high,3,0,7,NA
1,40-46,high,4,7,4,NA
1,40-46,high,5,0,5,NA
1,40-46,high,6,0,7,NA
1,40-46,high,7,0,7,NA
1,40-46,high,8,26,7,NA
1,40-46,high,9,0,7,NA
1,40-46,high,10,NA,7,NA
1,40-46,high,11,6,7,NA
1,40-46,high,12,2,7,NA
1,40-46,high,13,0,4,NA
1,40-46,high,14,0,7,NA
1,40-46,high,15,NA,7,NA
1,40-46,high,16,8,7,NA
1,40-46,high,17,0,6,NA
1,40-46,high,18,NA,7,NA
1,40-46,high,19,1,7,NA
1,40-46,high,20,23,7,NA
1,47-53,low,1,NA,7,NA
1,47-53,low,2,NA,7,NA
1,47-53,low,3,NA,7,NA
1,47-53,low,4,0,6,NA
1,47-53,low,5,NA,7,NA
1,47-53,low,6,0,5,NA
1,47-53,low,7,2,5,NA
