replicate,batch,female_age,treatment,vial,total_offspring,days
2,6,14-15,low,5,93,2
2,6,14-15,low,6,0,2
2,6,14-15,low,7,53,2
2,6,14-15,low,8,120,2
2,6,14-15,low,9,136,2
2,6,14-15,low,10,22,2
2,6,14-15,low,11,0,2
2,6,14-15,low,12,67,2
2,6,14-15,low,13,167,2
2,6,14-15,low,14,111,2
2,6,14-15,low,15,91,2
2,6,14-15,low,16,110,2
2,6,14-15,low,17,112,2
2,6,14-15,low,18,29,2
2,6,14-15,low,19,42,2
2,6,14-15,low,20,0,2
2,6,14-15,medium,1,44,2
2,6,14-15,medium,2,112,2
2,6,14-15,medium,3,146,2
2,6,14-15,medium,4,89,2
2,6,14-15,medium,5,0,2
2,6,14-15,medium,6,71,2
2,6,14-15,medium,7,12,2
2,6,14-15,medium,8,59,2
2,6,14-15,medium,9,97,2
2,6,14-15,medium,10,23,2
2,6,14-15,medium,11,7,2
2,6,14-15,medium,12,33,2
2,6,14-15,medium,13,3,2
2,6,14-15,medium,14,104,2
2,6,14-15,medium,15,78,2
2,6,14-15,medium,16,NA,2
2,6,14-15,medium,17,40,2
2,6,14-15,medium,18,0,2
2,6,14-15,medium,19,58,2
2,6,14-15,medium,20,88,2
2,6,14-15,high,1,86,2
2,6,14-15,high,2,56,2
2,6,14-15,high,3,98,2
2,6,14-15,high,4,128,2
2,6,14-15,high,5,114,2
2,6,14-15,high,6,43,2
2,6,14-15,high,7,81,2
2,6,14-15,high,8,41,2
2,6,14-15,high,9,93,2
2,6,14-15,high,10,90,2
2,6,14-15,high,11,19,2
2,6,14-15,high,12,95,2
2,6,14-15,high,13,0,2
2,6,14-15,high,14,84,2
2,6,14-15,high,15,87,2
2,6,14-15,high,16,88,2
2,6,14-15,high,17,148,2
2,6,14-15,high,18,93,2
2,6,14-15,high,19,138,2
2,6,14-15,high,20,105,2
2,7,16-19,low,1,121,4
2,7,16-19,low,2,28,4
2,7,16-19,low,3,154,4
2,7,16-19,low,4,NA,4
2,7,16-19,low,5,146,4
2,7,16-19,low,6,6,4
2,7,16-19,low,7,6,4
2,7,16-19,low,8,208,4
2,7,16-19,low,9,124,4
2,7,16-19,low,10,34,4
2,7,16-19,low,11,0,4
2,7,16-19,low,12,80,4
2,7,16-19,low,13,139,4
2,7,16-19,low,14,179,4
2,7,16-19,low,15,142,4
2,7,16-19,low,16,136,4
2,7,16-19,low,17,59,4
2,7,16-19,low,18,51,4
2,7,16-19,low,19,0,4
2,7,16-19,low,20,0,4
2,7,16-19,medium,1,62,4
2,7,16-19,medium,2,205,4
2,7,16-19,medium,3,6,4
2,7,16-19,medium,4,187,4
2,7,16-19,medium,5,25,4
2,7,16-19,medium,6,128,4
2,7,16-19,medium,7,182,4
2,7,16-19,medium,8,152,4
2,7,16-19,medium,9,36,4
2,7,16-19,medium,10,179,4
2,7,16-19,medium,11,162,4
2,7,16-19,medium,12,22,4
2,7,16-19,medium,13,229,4
2,7,16-19,medium,14,168,4
2,7,16-19,medium,15,0,4
2,7,16-19,medium,16,NA,4
2,7,16-19,medium,17,42,4
2,7,16-19,medium,18,140,4
2,7,16-19,medium,19,246,4
2,7,16-19,medium,20,172,4
2,7,16-19,high,1,203,4
2,7,16-19,high,2,87,4
2,7,16-19,high,3,136,4
2,7,16-19,high,4,237,4
2,7,16-19,high,5,126,4
2,7,16-19,high,6,245,4
2,7,16-19,high,7,110,4
2,7,16-19,high,8,129,4
2,7,16-19,high,9,193,4
2,7,16-19,high,10,209,4
2,7,16-19,high,11,255,4
2,7,16-19,high,12,170,4
2,7,16-19,high,13,7,4
2,7,16-19,high,14,105,4
2,7,16-19,high,15,206,4
2,7,16-19,high,16,95,4
2,7,16-19,high,17,201,4
2,7,16-19,high,18,23,4
2,7,16-19,high,19,224,4
2,7,16-19,high,20,191,4
2,8,20-23,low,1,0,4
2,8,20-23,low,2,222,4
2,8,20-23,low,3,182,4
2,8,20-23,low,4,NA,4
2,8,20-23,low,5,96,4
2,8,20-23,low,6,68,4
2,8,20-23,low,7,176,4
2,8,20-23,low,8,159,4
2,8,20-23,low,9,159,4
2,8,20-23,low,10,21,4
2,8,20-23,low,11,0,4
2,8,20-23,low,12,128,4
2,8,20-23,low,13,241,4
2,8,20-23,low,14,226,4
2,8,20-23,low,15,20,4
2,8,20-23,low,16,206,4
2,8,20-23,low,17,135,4
2,8,20-23,low,18,47,4
2,8,20-23,low,19,101,4
2,8,20-23,low,20,0,4
2,8,20-23,medium,1,2,4
2,8,20-23,medium,2,125,4
2,8,20-23,medium,3,135,4
2,8,20-23,medium,4,104,4
2,8,20-23,medium,5,0,4
2,8,20-23,medium,6,138,4
2,8,20-23,medium,7,181,4
2,8,20-23,medium,8,101,4
2,8,20-23,medium,9,18,4
2,8,20-23,medium,10,127,4
2,8,20-23,medium,11,2,4
2,8,20-23,medium,12,47,4
2,8,20-23,medium,13,214,4
2,8,20-23,medium,14,196,4
2,8,20-23,medium,15,0,4
2,8,20-23,medium,16,NA,4
2,8,20-23,medium,17,42,4
2,8,20-23,medium,18,65,4
2,8,20-23,medium,19,172,4
2,8,20-23,medium,20,49,4
2,8,20-23,high,1,107,4
2,8,20-23,high,2,57,4
2,8,20-23,high,3,108,4
2,8,20-23,high,4,208,4
2,8,20-23,high,5,199,4
2,8,20-23,high,6,155,4
2,8,20-23,high,7,130,4
2,8,20-23,high,8,106,4
2,8,20-23,high,9,149,4
2,8,20-23,high,10,201,4
2,8,20-23,high,11,194,4
2,8,20-23,high,12,98,4
2,8,20-23,high,13,77,4
2,8,20-23,high,14,26,4
2,8,20-23,high,15,209,4
2,8,20-23,high,16,155,4
2,8,20-23,high,17,144,4
2,8,20-23,high,18,0,4
2,8,20-23,high,19,173,4
2,8,20-23,high,20,237,4
2,9,24-27,low,1,0,4
2,9,24-27,low,2,83,4
2,9,24-27,low,3,48,4
2,9,24-27,low,4,NA,4
2,9,24-27,low,5,4,4
2,9,24-27,low,6,1,4
2,9,24-27,low,7,108,4
2,9,24-27,low,8,3,4
2,9,24-27,low,9,4,4
2,9,24-27,low,10,31,4
2,9,24-27,low,11,0,4
2,9,24-27,low,12,29,4
2,9,24-27,low,13,128,4
2,9,24-27,low,14,46,4
2,9,24-27,low,15,0,4
2,9,24-27,low,16,82,4
2,9,24-27,low,17,11,4
2,9,24-27,low,18,17,4
2,9,24-27,low,19,0,4
2,9,24-27,low,20,0,4
2,9,24-27,medium,1,0,4
2,9,24-27,medium,2,104,4
2,9,24-27,medium,3,54,4
2,9,24-27,medium,4,115,4
2,9,24-27,medium,5,NA,4
2,9,24-27,medium,6,78,4
2,9,24-27,medium,7,19,4
2,9,24-27,medium,8,0,4
2,9,24-27,medium,9,30,4
2,9,24-27,medium,10,98,4
2,9,24-27,medium,11,0,4
2,9,24-27,medium,12,41,4
2,9,24-27,medium,13,131,4
2,9,24-27,medium,14,56,4
2,9,24-27,medium,15,0,4
2,9,24-27,medium,16,NA,4
2,9,24-27,medium,17,19,4
2,9,24-27,medium,18,86,4
2,9,24-27,medium,19,121,4
2,9,24-27,medium,20,79,4
2,9,24-27,high,1,75,4
2,9,24-27,high,2,18,4
2,9,24-27,high,3,10,4
2,9,24-27,high,4,125,4
2,9,24-27,high,5,100,4
2,9,24-27,high,6,122,4
2,9,24-27,high,7,112,4
2,9,24-27,high,8,0,3
2,9,24-27,high,9,89,4
2,9,24-27,high,10,62,4
2,9,24-27,high,11,150,4
2,9,24-27,high,12,38,4
2,9,24-27,high,13,0,4
2,9,24-27,high,14,0,4
2,9,24-27,high,15,114,4
2,9,24-27,high,16,65,4
2,9,24-27,high,17,75,4
2,9,24-27,high,18,NA,4
2,9,24-27,high,19,113,4
2,9,24-27,high,20,121,4
2,10,28-31,low,1,0,4
2,10,28-31,low,2,124,4
2,10,28-31,low,3,84,4
2,10,28-31,low,4,NA,4
2,10,28-31,low,5,51,4
2,10,28-31,low,6,20,4
2,10,28-31,low,7,100,4
2,10,28-31,low,8,105,4
2,10,28-31,low,9,42,4
2,10,28-31,low,10,0,3
2,10,28-31,low,11,0,4
2,10,28-31,low,12,81,4
2,10,28-31,low,13,80,4
2,10,28-31,low,14,125,4
2,10,28-31,low,15,0,4
2,10,28-31,low,16,96,4
2,10,28-31,low,17,102,4
2,10,28-31,low,18,0,4
2,10,28-31,low,19,22,4
2,10,28-31,low,20,NA,4
2,10,28-31,medium,1,NA,4
2,10,28-31,medium,2,105,4
2,10,28-31,medium,3,131,4
2,10,28-31,medium,4,106,4
2,10,28-31,medium,5,NA,4
2,10,28-31,medium,6,70,4
2,10,28-31,medium,7,101,4
2,10,28-31,medium,8,2,4
2,10,28-31,medium,9,44,4
2,10,28-31,medium,10,27,4
2,10,28-31,medium,11,0,4
2,10,28-31,medium,12,52,4
2,10,28-31,medium,13,126,4
2,10,28-31,medium,14,24,4
2,10,28-31,medium,15,NA,4
2,10,28-31,medium,16,NA,4
2,10,28-31,medium,17,49,4
2,10,28-31,medium,18,88,4
2,10,28-31,medium,19,3,4
2,10,28-31,medium,20,78,4
2,10,28-31,high,1,1,4
2,10,28-31,high,2,NA,4
2,10,28-31,high,3,0,4
2,10,28-31,high,4,45,4
2,10,28-31,high,5,86,4
2,10,28-31,high,6,122,4
2,10,28-31,high,7,81,4
2,10,28-31,high,8,NA,4
2,10,28-31,high,9,34,4
2,10,28-31,high,10,2,4
2,10,28-31,high,11,78,4
2,10,28-31,high,12,NA,4
2,10,28-31,high,13,0,4
2,10,28-31,high,14,2,4
2,10,28-31,high,15,9,4
2,10,28-31,high,16,95,4
2,10,28-31,high,17,56,4
2,10,28-31,high,18,NA,4
2,10,28-31,high,19,85,4
2,10,28-31,high,20,121,4
2,11,32-35,low,1,0,4
2,11,32-35,low,2,74,4
2,11,32-35,low,3,0,4
2,11,32-35,low,4,NA,4
2,11,32-35,low,5,58,4
2,11,32-35,low,6,0,4
2,11,32-35,low,7,59,4
2,11,32-35,low,8,,4
2,11,32-35,low,9,12,4
2,11,32-35,low,10,NA,4
2,11,32-35,low,11,NA,4
2,11,32-35,low,12,15,4
2,11,32-35,low,13,0,4
2,11,32-35,low,14,0,4
2,11,32-35,low,15,0,4
2,11,32-35,low,16,22,4
2,11,32-35,low,17,35,4
2,11,32-35,low,18,0,4
2,11,32-35,low,19,NA,4
2,11,32-35,low,20,NA,4
2,11,32-35,medium,1,NA,4
2,11,32-35,medium,2,67,4
2,11,32-35,medium,3,104,4
2,11,32-35,medium,4,22,4
2,11,32-35,medium,5,NA,4
2,11,32-35,medium,6,63,4
2,11,32-35,medium,7,53,4
2,11,32-35,medium,8,0,4
2,11,32-35,medium,9,5,4
2,11,32-35,medium,10,89,4
2,11,32-35,medium,11,0,4
2,11,32-35,medium,12,0,4
2,11,32-35,medium,13,97,4
2,11,32-35,medium,14,0,4
2,11,32-35,medium,15,NA,4
2,11,32-35,medium,16,NA,4
2,11,32-35,medium,17,37,4
2,11,32-35,medium,18,38,4
2,11,32-35,medium,19,92,4
2,11,32-35,medium,20,33,4
2,11,32-35,high,1,0,4
2,11,32-35,high,2,NA,4
2,11,32-35,high,3,NA,4
2,11,32-35,high,4,27,4
2,11,32-35,high,5,0,4
2,11,32-35,high,6,73,4
2,11,32-35,high,7,0,4
2,11,32-35,high,8,NA,4
2,11,32-35,high,9,26,4
2,11,32-35,high,10,0,4
2,11,32-35,high,11,3,4
2,11,32-35,high,12,NA,4
2,11,32-35,high,13,NA,4
2,11,32-35,high,14,0,4
2,11,32-35,high,15,133,4
2,11,32-35,high,16,74,4
2,11,32-35,high,17,23,4
2,11,32-35,high,18,NA,4
2,11,32-35,high,19,53,4
2,11,32-35,high,20,73,4
2,12,36-39,low,1,NA,4
2,12,36-39,low,2,0,4
2,12,36-39,low,3,NA,4
2,12,36-39,low,4,NA,4
2,12,36-39,low,5,24,4
2,12,36-39,low,6,0,4
2,12,36-39,low,7,0,4
2,12,36-39,low,8,17,4
2,12,36-39,low,9,0,4
2,12,36-39,low,10,NA,4
2,12,36-39,low,11,NA,4
2,12,36-39,low,12,7,4
2,12,36-39,low,13,0,4
2,12,36-39,low,14,0,4
2,12,36-39,low,15,0,4
2,12,36-39,low,16,0,4
2,12,36-39,low,17,0,4
2,12,36-39,low,18,0,4
2,12,36-39,low,19,NA,4
2,12,36-39,low,20,NA,4
2,12,36-39,medium,1,NA,4
2,12,36-39,medium,2,1,4
2,12,36-39,medium,3,26,4
2,12,36-39,medium,4,0,4
2,12,36-39,medium,5,NA,4
2,12,36-39,medium,6,45,4
2,12,36-39,medium,7,0,4
2,12,36-39,medium,8,0,4
2,12,36-39,medium,9,0,4
2,12,36-39,medium,10,51,4
2,12,36-39,medium,11,NA,4
2,12,36-39,medium,12,0,4
2,12,36-39,medium,13,76,4
2,12,36-39,medium,14,0,4
2,12,36-39,medium,15,NA,4
2,12,36-39,medium,16,NA,4
2,12,36-39,medium,17,35,4
2,12,36-39,medium,18,NA,4
2,12,36-39,medium,19,0,4
2,12,36-39,medium,20,0,4
2,12,36-39,high,1,NA,4
2,12,36-39,high,2,NA,4
2,12,36-39,high,3,NA,4
2,12,36-39,high,4,3,4
2,12,36-39,high,5,0,4
2,12,36-39,high,6,2,4
2,12,36-39,high,7,4,4
2,12,36-39,high,8,NA,4
2,12,36-39,high,9,64,4
2,12,36-39,high,10,0,4
2,12,36-39,high,11,0,4
2,12,36-39,high,12,NA,4
2,12,36-39,high,13,NA,4
2,12,36-39,high,14,NA,4
2,12,36-39,high,15,115,4
2,12,36-39,high,16,13,4
2,12,36-39,high,17,2,4
2,12,36-39,high,18,NA,4
2,12,36-39,high,19,5,4
2,12,36-39,high,20,49,4
2,13,40-46,low,1,NA,7
2,13,40-46,low,2,0,7
2,13,40-46,low,3,NA,7
2,13,40-46,low,4,NA,7
2,13,40-46,low,5,1,7
2,13,40-46,low,6,0,7
2,13,40-46,low,7,NA,7
2,13,40-46,low,8,0,7
2,13,40-46,low,9,NA,7
2,13,40-46,low,10,NA,7
2,13,40-46,low,11,NA,7
2,13,40-46,low,12,0,7
2,13,40-46,low,13,0,7
2,13,40-46,low,14,0,7
2,13,40-46,low,15,0,7
2,13,40-46,low,16,0,7
2,13,40-46,low,17,0,7
2,13,40-46,low,18,0,7
2,13,40-46,low,19,NA,7
2,13,40-46,low,20,NA,7
2,13,40-46,medium,1,NA,7
2,13,40-46,medium,2,0,7
2,13,40-46,medium,3,0,7
2,13,40-46,medium,4,0,7
2,13,40-46,medium,5,NA,7
2,13,40-46,medium,6,9,7
2,13,40-46,medium,7,0,7
2,13,40-46,medium,8,NA,7
2,13,40-46,medium,9,0,7
2,13,40-46,medium,10,1,7
2,13,40-46,medium,11,NA,7
2,13,40-46,medium,12,NA,7
2,13,40-46,medium,13,27,7
2,13,40-46,medium,14,0,7
2,13,40-46,medium,15,NA,7
2,13,40-46,medium,16,NA,7
2,13,40-46,medium,17,29,7
2,13,40-46,medium,18,NA,7
2,13,40-46,medium,19,0,7
2,13,40-46,medium,20,0,7
2,13,40-46,high,1,NA,7
2,13,40-46,high,2,NA,7
2,13,40-46,high,3,NA,7
2,13,40-46,high,4,0,7
2,13,40-46,high,5,NA,7
2,13,40-46,high,6,0,7
2,13,40-46,high,7,0,7
2,13,40-46,high,8,NA,7
2,13,40-46,high,9,49,7
2,13,40-46,high,10,NA,7
2,13,40-46,high,11,0,7
2,13,40-46,high,12,NA,7
2,13,40-46,high,13,NA,7
2,13,40-46,high,14,NA,7
2,13,40-46,high,15,7,7
2,13,40-46,high,16,0,7
2,13,40-46,high,17,NA,7
2,13,40-46,high,18,NA,7
2,13,40-46,high,19,0,7
2,13,40-46,high,20,14,7
2,14,47-53,low,1,NA,7
2,14,47-53,low,2,NA,7
2,14,47-53,low,3,NA,7
2,14,47-53,low,4,NA,7
2,14,47-53,low,5,NA,7
2,14,47-53,low,6,NA,7
2,14,47-53,low,7,NA,7
2,14,47-53,low,8,0,7
2,14,47-53,low,9,NA,7
2,14,47-53,low,10,NA,7
2,14,47-53,low,11,NA,7
2,14,47-53,low,12,0,7
2,14,47-53,low,13,NA,7
2,14,47-53,low,14,NA,7
2,14,47-53,low,15,NA,7
2,14,47-53,low,16,0,7
2,14,47-53,low,17,0,7
2,14,47-53,low,18,NA,7
2,14,47-53,low,19,NA,7
2,14,47-53,low,20,NA,7
2,14,47-53,medium,1,NA,7
2,14,47-53,medium,2,0,7
2,14,47-53,medium,3,NA,7
2,14,47-53,medium,4,NA,7
2,14,47-53,medium,5,NA,7
2,14,47-53,medium,6,2,6
2,14,47-53,medium,7,NA,7
2,14,47-53,medium,8,NA,7
2,14,47-53,medium,9,0,7
2,14,47-53,medium,10,NA,7
2,14,47-53,medium,11,NA,7
2,14,47-53,medium,12,NA,7
2,14,47-53,medium,13,0,7
2,14,47-53,medium,14,NA,7
2,14,47-53,medium,15,NA,7
2,14,47-53,medium,16,NA,7
2,14,47-53,medium,17,2,7
2,14,47-53,medium,18,NA,7
2,14,47-53,medium,19,NA,7
2,14,47-53,medium,20,NA,7
2,14,47-53,high,1,NA,7
2,14,47-53,high,2,NA,7
2,14,47-53,high,3,NA,7
2,14,47-53,high,4,NA,7
2,14,47-53,high,5,NA,7
2,14,47-53,high,6,NA,7
2,14,47-53,high,7,0,7
2,14,47-53,high,8,NA,7
2,14,47-53,high,9,5,7
2,14,47-53,high,10,NA,7
2,14,47-53,high,11,NA,7
2,14,47-53,high,12,NA,7
2,14,47-53,high,13,NA,7
2,14,47-53,high,14,NA,7
2,14,47-53,high,15,0,7
2,14,47-53,high,16,NA,7
